date,Open,High,Low,Close,Volume
4/29/2009,3.4,3.56,3.38,3.51,11537950
4/30/2009,3.55,3.73,3.53,3.61,18193730
5/1/2009,3.55,3.9,3.55,3.82,16233940
5/4/2009,3.9,4.3,3.83,4.26,21236940
5/5/2009,4.36,4.39,4.11,4.32,16369170
5/6/2009,4.45,4.45,4.12,4.31,15075630
5/7/2009,4.22,4.35,3.91,4.01,23369680
5/8/2009,4.12,4.15,3.84,3.93,14316080
5/11/2009,3.9,4.37,3.87,4.22,25214610
5/12/2009,4.41,4.5,4.13,4.35,29715910
5/13/2009,4.36,4.67,4.33,4.38,35462450
5/14/2009,4.35,4.57,4.07,4.24,33845500
5/15/2009,4.26,4.37,3.93,4.01,30087120
5/18/2009,4.19,4.25,4.06,4.14,19644630
5/19/2009,4.3,4.5,4.24,4.39,22936030
5/20/2009,4.57,4.76,4.44,4.5,25208560
5/21/2009,4.45,4.46,4.25,4.34,14475570
5/22/2009,4.43,4.43,4.25,4.26,8274297
5/26/2009,4.26,4.57,4.23,4.53,16077030
5/27/2009,4.57,4.8,4.55,4.71,21508280
5/28/2009,4.75,4.84,4.54,4.7,18365310
5/29/2009,4.71,4.78,4.38,4.54,24513080
6/1/2009,4.69,4.9,4.64,4.73,26601030
6/2/2009,4.68,4.7,4.55,4.56,24929570
6/3/2009,4.55,4.6,4.34,4.48,19079900
6/4/2009,4.57,4.74,4.54,4.65,19698060
6/5/2009,4.84,4.87,4.61,4.63,18769500
6/8/2009,4.58,4.67,4.5,4.61,12304240
6/9/2009,4.7,4.8,4.68,4.75,18762410
6/10/2009,4.81,4.86,4.7,4.82,18316570
6/11/2009,4.83,4.87,4.68,4.7,15841310
6/12/2009,4.75,4.79,4.33,4.47,39905250
6/15/2009,4.39,4.45,4.21,4.26,27451800
6/16/2009,4.3,4.35,4.1,4.13,27513390
6/17/2009,4.13,4.17,3.86,4.08,32794600
6/18/2009,4.03,4.07,3.81,3.85,29174170
6/19/2009,3.92,3.98,3.86,3.87,20840130
6/22/2009,3.84,3.86,3.61,3.62,21533580
6/23/2009,3.67,3.69,3.425,3.55,21377070
6/24/2009,3.63,3.78,3.6,3.66,19656660
6/25/2009,3.62,3.68,3.53,3.64,14538840
6/26/2009,3.69,3.71,3.62,3.62,16700730
6/29/2009,3.72,3.78,3.65,3.72,14882390
6/30/2009,3.77,3.98,3.74,3.87,24127250
7/1/2009,3.93,4.05,3.88,3.91,25967860
7/2/2009,3.84,3.89,3.76,3.78,13398670
7/6/2009,3.74,3.77,3.5,3.55,26785810
7/7/2009,3.63,3.63,3.35,3.43,20437320
7/8/2009,3.43,3.49,3.22,3.36,32692250
7/9/2009,3.43,3.56,3.38,3.48,19991060
7/10/2009,3.43,3.56,3.42,3.49,12988380
7/13/2009,3.53,3.6,3.36,3.56,15478030
7/14/2009,3.59,3.61,3.49,3.55,14396050
7/15/2009,3.8,3.97,3.8,3.86,35890720
7/16/2009,3.9,3.95,3.76,3.92,18714220
7/17/2009,3.95,4,3.89,4,15918480
7/20/2009,4.03,4.18,4,4.17,30637190
7/21/2009,4.25,4.25,3.95,4.08,47042130
7/22/2009,3.54,3.64,3.41,3.55,66549950
7/23/2009,3.54,3.6,3.49,3.59,26234650
7/24/2009,3.56,3.81,3.54,3.77,25147540
7/27/2009,3.82,3.84,3.71,3.8,15776630
7/28/2009,3.77,3.81,3.7,3.77,15661620
7/29/2009,3.77,3.79,3.65,3.71,18376800
7/30/2009,3.78,3.81,3.65,3.66,20784480
7/31/2009,3.66,3.73,3.65,3.66,14278010
8/3/2009,3.75,3.78,3.7,3.74,12824160
8/4/2009,3.75,3.85,3.68,3.76,20091200
8/5/2009,3.77,3.79,3.7,3.75,12121100
8/6/2009,3.75,3.79,3.66,3.71,11638200
8/7/2009,3.77,3.77,3.66,3.7,12255360
8/10/2009,3.71,3.71,3.65,3.68,10631800
8/11/2009,3.68,3.69,3.55,3.59,12645140
8/12/2009,3.6,3.63,3.56,3.59,13461230
8/13/2009,3.61,3.71,3.52,3.68,22041840
8/14/2009,3.66,3.76,3.59,3.69,23171590
8/17/2009,3.55,3.61,3.52,3.55,15691720
8/18/2009,3.55,3.58,3.49,3.56,23268940
8/19/2009,3.49,3.525,3.47,3.52,10910470
8/20/2009,3.53,3.55,3.49,3.52,6528869
8/21/2009,3.53,3.71,3.51,3.7,20128290
8/24/2009,3.93,4.1,3.88,4,49167240
8/25/2009,4.13,4.14,4.02,4.02,28046750
8/26/2009,4.03,4.08,4,4.06,20669030
8/27/2009,4.04,4.26,4,4.23,26079130
8/28/2009,4.45,4.55,4.3,4.47,41922910
8/31/2009,4.32,4.38,4.23,4.36,22117050
9/1/2009,4.36,4.57,4.18,4.22,32570370
9/2/2009,4.19,4.33,4.13,4.28,18990770
9/3/2009,4.39,4.56,4.35,4.53,33174350
9/4/2009,4.55,4.56,4.38,4.53,19614140
9/8/2009,4.6,5.24,4.57,5.19,73293380
9/9/2009,5.15,5.3,5,5.2,44373370
9/10/2009,5.29,5.45,5.2,5.38,39061150
9/11/2009,5.49,5.75,5.45,5.68,48450210
9/14/2009,5.62,5.78,5.51,5.72,27529330
9/15/2009,5.77,5.94,5.72,5.88,26727930
9/16/2009,5.85,5.87,5.57,5.69,43022440
9/17/2009,5.69,5.78,5.55,5.67,38144110
9/18/2009,5.74,5.75,5.43,5.7,34234700
9/21/2009,5.57,5.89,5.56,5.81,26252970
9/22/2009,5.91,6.3,5.84,6.08,39945640
9/23/2009,6.18,6.28,6,6.02,34427200
9/24/2009,6.06,6.09,5.57,5.66,36253300
9/25/2009,5.52,5.83,5.51,5.83,29799610
9/28/2009,5.87,6.06,5.79,5.94,20210120
9/29/2009,5.85,6.1,5.72,5.78,31039480
9/30/2009,5.8,5.85,5.59,5.66,37529900
10/1/2009,5.62,5.65,5.27,5.39,42687720
10/2/2009,5.22,5.45,5.05,5.31,31799670
10/5/2009,5.15,5.63,5.12,5.54,29205740
10/6/2009,5.67,5.78,5.53,5.64,21868910
10/7/2009,5.66,5.69,5.52,5.54,16855480
10/8/2009,5.58,5.67,5.46,5.51,20260170
10/9/2009,5.51,5.9,5.51,5.88,27308890
10/12/2009,6.13,6.29,6.08,6.14,38496060
10/13/2009,6.21,6.22,6.06,6.08,29482100
10/14/2009,6.31,6.36,6.16,6.25,32130450
10/15/2009,6.21,6.23,6.05,6.19,37263140
10/16/2009,5.89,5.9399,5.65,5.74,62152160
10/19/2009,5.78,5.89,5.68,5.87,20515610
10/20/2009,5.94,6.18,5.92,5.98,35576430
10/21/2009,5.89,6.07,5.7,5.77,27026900
10/22/2009,5.76,5.87,5.61,5.83,21165390
10/23/2009,5.93,5.93,5.52,5.6,26643510
10/26/2009,5.62,5.71,5.34,5.42,26786650
10/27/2009,5.42,5.47,5.07,5.15,31023820
10/28/2009,4.98,5.02,4.75,4.85,30652100
10/29/2009,4.95,5.1,4.9,4.93,27134080
10/30/2009,4.98,4.98,4.545,4.6,31587350
11/2/2009,4.68,4.78,4.44,4.6,23819910
11/3/2009,4.49,4.65,4.33,4.64,23034730
11/4/2009,4.71,4.88,4.67,4.69,25192300
11/5/2009,4.81,4.86,4.72,4.83,14630560
11/6/2009,4.84,5.05,4.79,5.04,20914320
11/9/2009,5.12,5.24,5.1,5.21,15786960
11/10/2009,5.2,5.31,5.07,5.14,16253650
11/11/2009,5.23,5.35,5.2,5.32,24474740
11/12/2009,6.64,6.73,6.35,6.48,163011400
11/13/2009,6.26,6.56,6.17,6.53,68089060
11/16/2009,6.56,6.7,6.32,6.43,48783000
11/17/2009,6.37,6.64,6.35,6.62,26731550
11/18/2009,6.71,7.33,6.7,7.32,79097880
11/19/2009,7.2,7.3,6.78,7.05,65837160
11/20/2009,6.9,6.995,6.8,6.95,28181510
11/23/2009,7.03,7.15,6.94,7,29233740
11/24/2009,7.01,7.07,6.83,6.95,18549670
11/25/2009,7.01,7.12,6.965,7.11,16360830
11/27/2009,6.69,7,6.68,6.85,16185080
11/30/2009,6.9,7.011,6.78,7.01,19363390
12/1/2009,7.11,7.25,7.01,7.2,23136360
12/2/2009,7.21,7.5,7.21,7.3,26884870
12/3/2009,7.37,8.23,7.36,8.03,68998930
12/4/2009,8.09,8.25,7.65,7.86,43842330
12/7/2009,8.25,8.61,8.23,8.52,45590890
12/8/2009,8.43,8.815,8.34,8.67,41600090
12/9/2009,8.81,8.87,8.55,8.71,30300030
12/10/2009,8.82,8.895,8.57,8.58,25950770
12/11/2009,8.61,8.69,8.43,8.64,20037170
12/14/2009,8.81,8.84,8.58,8.68,24212760
12/15/2009,8.65,9.08,8.57,8.82,30504000
12/16/2009,9.14,9.39,8.82,9.15,43159360
12/17/2009,9.03,9.3,9,9.12,19926540
12/18/2009,9,9.12,8.93,9.05,15931910
12/21/2009,9.09,9.59,9.01,9.53,30412620
12/22/2009,9.55,9.76,9.29,9.43,26187140
12/23/2009,9.45,9.69,9.42,9.67,19547360
12/24/2009,9.79,9.95,9.775,9.91,11331970
12/28/2009,9.97,10.04,9.71,9.83,17262880
12/29/2009,9.81,9.91,9.44,9.75,20977380
12/30/2009,9.63,9.83,9.58,9.72,14400480
12/31/2009,9.75,9.77,9.625,9.68,9396454
1/4/2010,9.79,9.9,9.68,9.7,18719210
1/5/2010,9.71,9.9,9.68,9.71,22109100
1/6/2010,9.68,9.76,9.55,9.57,18640620
1/7/2010,9.51,9.55,9.18,9.47,26793490
1/8/2010,9.37,9.47,9.29,9.43,13752150
1/11/2010,9.38,9.44,9.08,9.14,23615690
1/12/2010,8.89,8.92,8.52,8.65,33379050
1/13/2010,8.71,9.2,8.55,9.15,32711720
1/14/2010,9.18,9.26,8.92,9,22451350
1/15/2010,9.13,9.19,8.8,8.84,34323200
1/19/2010,8.84,9.21,8.84,9.01,24841830
1/20/2010,8.98,9,8.755,8.87,22785770
1/21/2010,9.01,9.1,8.7701,8.99,37676450
1/22/2010,8.55,8.56,7.82,7.88,69078360
1/25/2010,8.01,8.14,7.93,8.07,20548860
1/26/2010,8.03,8.19,7.93,8.09,20930520
1/27/2010,8.03,8.22,7.91,8.19,26824320
1/28/2010,8.24,8.25,7.71,7.88,32068170
