"
Company","
Ticker","% of
Portfolio","Russell
Sector","Zacks
G Sector"
ACTIVISION BLZD,ATVI,0.2%,TECHNOLOGY,COMMUNICATION SVCS
ALPHABET INC-A,GOOGL,1.6%,TECHNOLOGY,COMMUNICATION SVCS
ALPHABET INC-C,GOOG,1.6%,TECHNOLOGY,COMMUNICATION SVCS
AT&T INC,T,0.7%,UTILITIES,COMMUNICATION SVCS
CENTURYLINK INC,CTL,0.0%,UTILITIES,COMMUNICATION SVCS
CHARTER COMM-A,CHTR,0.3%,CONSUMER DISCRETION,COMMUNICATION SVCS
COMCAST CORP  A,CMCSA,0.7%,CONSUMER DISCRETION,COMMUNICATION SVCS
DISCOVERY COM-A,DISCA,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
DISCOVERY COM-C,DISCK,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
DISH NETWORK CP,DISH,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
DISNEY WALT,DIS,0.9%,CONSUMER DISCRETION,COMMUNICATION SVCS
ELECTR ARTS INC,EA,0.1%,TECHNOLOGY,COMMUNICATION SVCS
FACEBOOK INC-A,FB,2.3%,TECHNOLOGY,COMMUNICATION SVCS
FOX CORP-A,FOXA,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
FOX CORP-B,FOX,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
INTERPUBLIC GRP,IPG,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
LIVE NATION ENT,LYV,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
NETFLIX INC,NFLX,0.8%,CONSUMER DISCRETION,COMMUNICATION SVCS
NEWS CORP NEW-A,NWSA,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
NEWS CORP-B,NWS,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
OMNICOM GRP,OMC,0.0%,CONSUMER DISCRETION,COMMUNICATION SVCS
TAKE-TWO INTER,TTWO,0.1%,TECHNOLOGY,COMMUNICATION SVCS
T-MOBILE US INC,TMUS,0.2%,UTILITIES,COMMUNICATION SVCS
TWITTER INC,TWTR,0.1%,TECHNOLOGY,COMMUNICATION SVCS
VERIZON COMM,VZ,0.9%,UTILITIES,COMMUNICATION SVCS
VIACOMCBS INC,VIAC,0.1%,CONSUMER DISCRETION,COMMUNICATION SVCS
ADVANCE AUTO PT,AAP,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
AMAZON.COM INC,AMZN,4.7%,CONSUMER DISCRETION,CONSUMER DISCR
APTIV PLC,APTV,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
AUTOZONE INC,AZO,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
BEST BUY,BBY,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
BLOCK H & R,HRB,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
BOOKING HOLDNGS,BKNG,0.3%,CONSUMER DISCRETION,CONSUMER DISCR
BORG WARNER INC,BWA,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
CARMAX GP (CC),KMX,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
CARNIVAL CORP,CCL,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
CHIPOTLE MEXICN,CMG,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
D R HORTON INC,DHI,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
DARDEN RESTRNT,DRI,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
DOLLAR GENERAL,DG,0.2%,CONSUMER DISCRETION,CONSUMER DISCR
DOLLAR TREE INC,DLTR,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
DOMINOS PIZZA,DPZ,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
EBAY INC,EBAY,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
EXPEDIA INC,EXPE,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
FORD MOTOR CO,F,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
GAP INC,GPS,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
GARMIN LTD,GRMN,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
GENERAL MOTORS,GM,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
GENUINE PARTS,GPC,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
HANESBRANDS INC,HBI,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
HASBRO INC,HAS,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
HILTON WW HLDG,HLT,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
HOME DEPOT,HD,1.1%,CONSUMER DISCRETION,CONSUMER DISCR
KOHLS CORP,KSS,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
L BRANDS INC,LB,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
LAS VEGAS SANDS,LVS,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
LEGGETT & PLATT,LEG,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
LENNAR CORP -A,LEN,0.1%,CONSUMER DISCRETION,CONSUMER DISCR
LKQ CORP,LKQ,0.0%,CONSUMER DISCRETION,CONSUMER DISCR
LOWES COS,LOW,0.4%,CONSUMER DISCRETION,CONSUMER DISCR
