,CARR,Carrier Global Corp,29.15,#N/A,,#N/A
,CTVA,Corteva Inc,28.97,#N/A,,#N/A
,DOW,Dow Inc,50.09,#N/A,,#N/A
,DXC,DXC Technology Co,20.19,#N/A,,#N/A
,FTV,Fortive Corp,77.63,#N/A,,#N/A
,LW,Lamb Weston Holdings Inc,65.61,#N/A,,#N/A
,OTIS,Otis Worldwide Corp,59.99,#N/A,,#N/A
,AMCR,Amcor PLC,11.15,#N/A,,#N/A
,HPE,Hewlett Packard Enterprise Co,9.37,#N/A,,#N/A
,UA,Under Armour Inc Class C,10.3,#N/A,,#N/A
,AMZN,"Amazon.com, Inc.",3102.97,522.37,,494.02%
,PYPL,Paypal Holdings Inc,186.96,33.8,,453.14%
,MSFT,Microsoft Corporation,205.41,43.98,,367.05%
,ISRG,"Intuitive Surgical, Inc.",716.34,171.26,,318.28%
,CHTR,Charter Communications Inc,609.7,188.51,,223.43%
,FB,"Facebook, Inc. Common Stock",266.15,92.9,,186.49%
,ROP,Roper Technologies Inc,396.26,160.58,,146.77%
,LIN,Linde PLC,251.25,105.7,,137.70%
,ROST,"Ross Stores, Inc.",93.77,49.42,,89.74%
,ILMN,"Illumina, Inc.",353.65,205.71,,71.92%
,CMI,Cummins Inc.,210.58,121.73,,72.99%
,GPC,Genuine Parts Company,103.02,84.9,,21.34%
,CAH,Cardinal Health Inc,47.05,85.08,,-44.70%
,HRB,H & R Block Inc,14.72,35.83,,-58.92%
,AMD,"Advanced Micro Devices, Inc.",77.9,1.86,,4088.17%
,NVDA,NVIDIA Corporation,514.89,22.94,,2144.51%
,PAYC,Paycom Software Inc,272.64,40.6,,571.53%
,NOW,ServiceNow Inc,458.06,74.26,,516.83%
,ADBE,Adobe Inc,485.91,79.53,,510.98%
,CPRT,"Copart, Inc.",103.86,17.61,,489.78%
,ALGN,"Align Technology, Inc.",323.46,56.52,,472.29%
,MSCI,Msci Inc,342.37,60.73,,463.76%
,TTWO,TAKE-TWO INTERACTIVE ,156.48,29.49,,430.62%
,NFLX,Netflix Inc,476.26,99.16,,380.29%
,CDNS,Cadence Design Systems Inc,103.23,21.14,,388.32%
,ADSK,"Autodesk, Inc.",229.83,46.62,,392.99%
,IDXX,"IDEXX Laboratories, Inc.",365.56,76.94,,375.12%
,WST,West Pharmaceutical Services Inc.,277.87,57.24,,385.45%
,MKTX,MarketAxess Holdings Inc.,461.85,97.3,,374.67%
,ODFL,Old Dominion Freight Line Inc,193.15,45.63,,323.30%
,SNPS,"Synopsys, Inc.",205.54,48.05,,327.76%
,LRCX,Lam Research Corporation,305.42,74.02,,312.62%
,NEM,Newmont Corporation,67.38,15.97,,321.92%
,DXCM,"DexCom, Inc.",393.61,96.72,,306.96%
,AAPL,Apple Inc.,115.36,29.07,,296.84%
,CTAS,Cintas Corporation,327.81,86.53,,278.84%
,SPGI,S&P Global Inc,353.09,94.9,,272.07%
,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",508.84,140.02,,263.41%
,MA,Mastercard Inc,338.6,92.11,,267.60%
,DPZ,"Domino's Pizza, Inc.",388.52,111.82,,247.45%
