,CARR,Carrier Global Corp,29.15,,#N/A,#N/A
,OTIS,Otis Worldwide Corp,59.99,,#N/A,#N/A
,FCX,Freeport-McMoRan Inc,16.36,,6.24,162.18%
,FDX,FedEx Corporation,236.34,,90.49,161.18%
,NVDA,NVIDIA Corporation,514.89,,196.4,162.16%
,LB,L Brands Inc,29.05,,11.65,149.36%
,HAL,Halliburton Company,14.33,,5.94,141.25%
,RCL,Royal Caribbean Cruises Ltd,70.94,,29.94,136.94%
,DHI,D. R. Horton Inc,72.72,,31.35,131.96%
,CMG,"Chipotle Mexican Grill, Inc.",1267.19,,571.51,121.73%
,DOW,Dow Inc,50.09,,#N/A,#N/A
,LOW,Lowe`s Companies Inc,165.19,,72.59,127.57%
,MGM,MGM Resorts International,23.06,,10.25,124.98%
,APA,Apache Corporation,11.93,,5.46,118.50%
,VIAC,CBS Corporation Common Stock,29.73,,13.61,118.44%
,LYB,LyondellBasell Industries NV,76.49,,34.9,119.17%
,LEN,Lennar Corporation,79,,36.72,115.14%
,URI,"United Rentals, Inc.",176.58,,83.23,112.16%
,WST,West Pharmaceutical Services Inc.,277.87,,#N/A,#N/A
,TSCO,Tractor Supply Company,138.14,,67.36,105.08%
,FBHS,Fortune Brands Home & Security Inc,83.77,,40.9,104.82%
,SWKS,Skyworks Solutions Inc,137.79,,#N/A,#N/A
,EMN,Eastman Chemical Company,81,,40.01,102.45%
,GPS,Gap Inc,17.31,,8.34,107.55%
,PYPL,Paypal Holdings Inc,186.96,,92.72,101.64%
,AMD,"Advanced Micro Devices, Inc.",77.9,,38.71,101.24%
,ALGN,"Align Technology, Inc.",323.46,,161.72,100.01%
,CRM,"salesforce.com, inc.",246.64,,124.3,98.42%
,HOLX,"Hologic, Inc.",60.65,,32.25,88.06%
,AVGO,Broadcom Inc,362.2,,187.58,93.09%
,SIVB,SVB Financial Group,250.68,,130.98,91.39%
,DXCM,"DexCom, Inc.",393.61,,202.3,94.57%
,ABMD,"ABIOMED, Inc.",275.7,,142.44,93.56%
,PHM,"PulteGroup, Inc.",45.67,,24.08,89.66%
,SEE,Sealed Air Corp,39.27,,20.92,87.72%
,BBY,Best Buy Co Inc,107.7,,57.3,87.96%
,WHR,Whirlpool Corporation,177.8,,92.79,91.62%
,CDNS,Cadence Design Systems Inc,103.23,,54.6,89.07%
,AMCR,Amcor PLC,11.15,,5.95,87.39%
,AAPL,Apple Inc.,115.36,,60.55,90.52%
,KMX,"CarMax, Inc",104.8,,54.95,90.72%
,AMZN,"Amazon.com, Inc.",3102.97,,1689.15,83.70%
,VTR,"Ventas, Inc.",45.48,,23.8,91.09%
,MOS,Mosaic Co,18.13,,9.95,82.21%
,BWA,BorgWarner Inc.,42.82,,23.05,85.77%
,HBI,Hanesbrands Inc.,15.78,,8.38,88.31%
,SWK,"Stanley Black & Decker, Inc.",162.35,,86.64,87.38%
,FB,"Facebook, Inc. Common Stock",266.15,,146.01,82.28%
,UPS,"United Parcel Service, Inc.",160.14,,87.06,83.94%
,ODFL,Old Dominion Freight Line Inc,193.15,,107.33,79.96%
,MCHP,Microchip Technology Inc.,102.21,,55.77,83.27%
,DXC,DXC Technology Co,20.19,,10.85,86.08%
,DE,Deere & Company,218.33,,120.05,81.87%
,JBHT,J B Hunt Transport Services Inc,132.02,,75.38,75.14%
,SNPS,"Synopsys, Inc.",205.54,,112.75,82.30%
,PH,Parker-Hannifin Corp,211.44,,117.76,79.55%
,ETFC,E*TRADE Financial Corp,53,,#N/A,#N/A
,PWR,Quanta Services Inc,52.26,,29.15,79.28%
,NKE,Nike Inc,119.28,,66.79,78.59%
,PKI,"PerkinElmer, Inc.",117.73,,66.71,76.48%
,DRI,"Darden Restaurants, Inc.",91.61,,49.21,86.16%
,AMP,"Ameriprise Financial, Inc.",156.03,,86.34,80.72%
,QCOM,"QUALCOMM, Inc.",113.46,,64.48,75.96%
,HAS,"Hasbro, Inc.",77.18,,44.73,72.55%
,NBL,"Noble Energy, Inc.",9.13,,5.23,74.57%
,SHW,Sherwin-Williams Co,717.6,,406.07,76.72%
,NVR,"NVR, Inc.",4142.22,,2321.78,78.41%
,QRVO,Qorvo Inc,122.84,,70.7,73.75%
,ISRG,"Intuitive Surgical, Inc.",716.34,,404.29,77.18%
,EXPE,Expedia Group Inc,95.92,,54.7,75.36%
,NSC,Norfolk Southern Corp.,220.29,,126.44,74.22%
,DD,DuPont de Nemours Inc,59.43,,34.25,73.52%
,DISH,DISH Network Corp,32.66,,18.79,73.82%
,IR,Ingersoll Rand Inc,36.32,,21.25,70.92%
,NOW,ServiceNow Inc,458.06,,265.43,72.57%
,WY,Weyerhaeuser Co,28.93,,16.95,70.68%
,GLW,Corning Incorporated,32.74,,19.06,71.77%
,HD,Home Depot Inc,280.65,,164.96,70.13%
,VAR,"Varian Medical Systems, Inc.",173.15,,103.52,67.26%
,MAS,Masco Corp,59.4,,35.14,69.04%
,APD,"Air Products & Chemicals, Inc.",303.97,,180.35,68.54%
,ILMN,"Illumina, Inc.",353.65,,211.02,67.59%
,APTV,Aptiv PLC,85.89,,51.12,68.02%
,SYY,SYSCO Corporation,64.57,,37.75,71.05%
,MKC,"McCormick & Company, Incorporated",200.1,,120.37,66.24%
,ADBE,Adobe Inc,485.91,,#N/A,#N/A
,CAT,Caterpillar Inc.,153.51,,93.41,64.34%
,PVH,PVH Corp,71.4,,#N/A,#N/A
,EBAY,eBay Inc,52.3,,32.24,62.22%
,IDXX,"IDEXX Laboratories, Inc.",365.56,,223.83,63.32%
,KSU,Kansas City Southern,187.22,,114.21,63.93%
,NEM,Newmont Corporation,67.38,,40.73,65.43%
,LEG,"Leggett & Platt, Inc.",44.63,,27.45,62.59%
,AAP,"Advance Auto Parts, Inc.",157.31,,95.25,65.15%
,AES,AES Corp,17.95,,10.99,63.33%
,TWTR,Twitter Inc,38.77,,24.04,61.27%
,CHRW,CH Robinson Worldwide Inc,100.71,,61.06,64.94%
,NFLX,Netflix Inc,476.26,,298.84,59.37%
,CE,Celanese Corporation,109.41,,66.13,65.45%
,ALB,Albemarle Corporation,98.17,,58.96,66.50%
,TEL,TE Connectivity Ltd,99.58,,60.94,63.41%
,DHR,Danaher Corporation,207.93,,127.64,62.90%
,NCLH,Norwegian Cruise Line Holdings Ltd,17.79,,#N/A,#N/A
,AME,"AMETEK, Inc.",101.39,,62.54,62.12%
,MS,Morgan Stanley,51.15,,31.65,61.61%
,LNC,Lincoln National Corporation,35.34,,21.67,63.08%
,HCA,HCA Healthcare Inc,135.72,,84.45,60.71%
,CTAS,Cintas Corporation,327.81,,202.51,61.87%
,ORLY,O'Reilly Automotive Inc,478.12,,299.65,59.56%
,CMI,Cummins Inc.,210.58,,131.45,60.20%
,LIN,Linde PLC,251.25,,158.35,58.67%
,LKQ,LKQ Corporation,32.34,,20.36,58.84%
,CSX,CSX Corporation,78.96,,48.93,61.37%
,TGT,Target Corporation,148.44,,93.79,58.27%
,LYV,"Live Nation Entertainment, Inc.",58.66,,36.31,61.55%
,PRU,Prudential Financial Inc,69.76,,43.35,60.92%
,BF.B,Brown-Forman Corporation Class B,79.49,,50.52,57.34%
,SPGI,S&P Global Inc,353.09,,222.16,58.94%
,UNP,Union Pacific Corporation,198.84,,125.1,58.94%
,IEX,IDEX Corporation,184.1,,115.7,59.12%
,CTSH,Cognizant Technology Solutions Corp,69.29,,43.58,58.99%
,MTD,Mettler-Toledo International Inc.,978.99,,622.63,57.23%
,IQV,Iqvia Holdings Inc,161.65,,102.36,57.92%
,CNP,CenterPoint Energy Inc,19.54,,12.48,56.57%
,PLD,Prologis Inc,101.95,,64.38,58.36%
,MXIM,Maxim Integrated Products Inc.,66.35,,42.5,56.12%
,GWW,W W Grainger Inc,354.34,,#N/A,#N/A
,CHTR,Charter Communications Inc,609.7,,389.11,56.69%
,TMO,Thermo Fisher Scientific Inc.,434.1,,279.35,55.40%
,PPG,"PPG Industries, Inc.",130.21,,82.42,57.98%
,PXD,Pioneer Natural Resources Co,93.35,,59.72,56.31%
,MPC,Marathon Petroleum Corp,32.02,,20.29,57.81%
,ACN,Accenture Plc,238.83,,152.54,56.57%
,EXPD,Expeditors International of Wshngtn Inc,91.21,,58.74,55.28%
,A,Agilent Technologies Inc,99.42,,64.13,55.03%
,MCO,Moody's Corporation,288.68,,185.4,55.71%
,CHD,"Church & Dwight Co., Inc.",92.72,,60.43,53.43%
,ADSK,"Autodesk, Inc.",229.83,,148.08,55.21%
,CPRT,"Copart, Inc.",103.86,,66.57,56.02%
,FMC,FMC Corp,110.53,,71.01,55.65%
,FITB,Fifth Third Bancorp,22.26,,13.79,61.42%
,APH,Amphenol Corporation,106.78,,68.34,56.25%
,ANSS,"ANSYS, Inc.",321.6,,206.35,55.85%
,FTNT,Fortinet Inc,118.01,,75.7,55.89%
,WELL,Welltower Inc,60.12,,#N/A,#N/A
,BLK,"BlackRock, Inc.",547.38,,357.28,53.21%
,ROL,"Rollins, Inc.",54.29,,35.75,51.86%
,STZ,"Constellation Brands, Inc. Class A",195.31,,124.75,56.56%
,ZBH,Zimmer Biomet Holdings Inc,140.59,,92,52.82%
,INFO,IHS Markit Ltd,77.95,,51.21,52.22%
,MSFT,Microsoft Corporation,205.41,,135.42,51.68%
,ZBRA,Zebra Technologies Corp.,251.26,,166.08,51.29%
,IPGP,IPG Photonics Corporation,162.88,,105.36,54.59%
,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",508.84,,335.71,51.57%
,WMB,Williams Companies Inc,20.85,,13.49,54.56%
,NUE,Nucor Corporation,46.73,,30.64,52.51%
,WYNN,"Wynn Resorts, Limited",83.8,,54.8,52.92%
,TDG,TransDigm Group Incorporated,507.3,,338.44,49.89%
,FTV,Fortive Corp,77.63,,51.84,49.75%
,LH,Laboratory Corp. of America Holdings,183.13,,121.91,50.22%
