,CARR,Carrier Global Corp,29.15,,#N/A,#N/A
,OTIS,Otis Worldwide Corp,59.99,,#N/A,#N/A
,FCX,Freeport-McMoRan Inc,16.36,,#N/A,#N/A
,FDX,FedEx Corporation,236.34,,#N/A,#N/A
,NVDA,NVIDIA Corporation,514.89,,#N/A,#N/A
,LB,L Brands Inc,29.05,,#N/A,#N/A
,HAL,Halliburton Company,14.33,,#N/A,#N/A
,RCL,Royal Caribbean Cruises Ltd,70.94,,#N/A,#N/A
,DHI,D. R. Horton Inc,72.72,,#N/A,#N/A
,CMG,"Chipotle Mexican Grill, Inc.",1267.19,,#N/A,#N/A
,DOW,Dow Inc,50.09,,#N/A,#N/A
,LOW,Lowe`s Companies Inc,165.19,,#N/A,#N/A
,MGM,MGM Resorts International,23.06,,#N/A,#N/A
,APA,Apache Corporation,11.93,,#N/A,#N/A
,VIAC,CBS Corporation Common Stock,29.73,,#N/A,#N/A
,LYB,LyondellBasell Industries NV,76.49,,#N/A,#N/A
,LEN,Lennar Corporation,79,,#N/A,#N/A
,URI,"United Rentals, Inc.",176.58,,#N/A,#N/A
,WST,West Pharmaceutical Services Inc.,277.87,,#N/A,#N/A
,TSCO,Tractor Supply Company,138.14,,#N/A,#N/A
,FBHS,Fortune Brands Home & Security Inc,83.77,,#N/A,#N/A
,SWKS,Skyworks Solutions Inc,137.79,,#N/A,#N/A
,EMN,Eastman Chemical Company,81,,#N/A,#N/A
,GPS,Gap Inc,17.31,,#N/A,#N/A
,PYPL,Paypal Holdings Inc,186.96,,#N/A,#N/A
,AMD,"Advanced Micro Devices, Inc.",77.9,,#N/A,#N/A
,ALGN,"Align Technology, Inc.",323.46,,#N/A,#N/A
,CRM,"salesforce.com, inc.",246.64,,#N/A,#N/A
,HOLX,"Hologic, Inc.",60.65,,#N/A,#N/A
,AVGO,Broadcom Inc,362.2,,#N/A,#N/A
,SIVB,SVB Financial Group,250.68,,#N/A,#N/A
,DXCM,"DexCom, Inc.",393.61,,#N/A,#N/A
,ABMD,"ABIOMED, Inc.",275.7,,#N/A,#N/A
,PHM,"PulteGroup, Inc.",45.67,,#N/A,#N/A
,SEE,Sealed Air Corp,39.27,,#N/A,#N/A
,BBY,Best Buy Co Inc,107.7,,#N/A,#N/A
,WHR,Whirlpool Corporation,177.8,,#N/A,#N/A
,CDNS,Cadence Design Systems Inc,103.23,,#N/A,#N/A
,AMCR,Amcor PLC,11.15,,#N/A,#N/A
,AAPL,Apple Inc.,115.36,,#N/A,#N/A
,KMX,"CarMax, Inc",104.8,,#N/A,#N/A
,AMZN,"Amazon.com, Inc.",3102.97,,#N/A,#N/A
,VTR,"Ventas, Inc.",45.48,,#N/A,#N/A
,MOS,Mosaic Co,18.13,,#N/A,#N/A
,BWA,BorgWarner Inc.,42.82,,#N/A,#N/A
,HBI,Hanesbrands Inc.,15.78,,#N/A,#N/A
,SWK,"Stanley Black & Decker, Inc.",162.35,,#N/A,#N/A
,FB,"Facebook, Inc. Common Stock",266.15,,#N/A,#N/A
,UPS,"United Parcel Service, Inc.",160.14,,#N/A,#N/A
,ODFL,Old Dominion Freight Line Inc,193.15,,#N/A,#N/A
,MCHP,Microchip Technology Inc.,102.21,,#N/A,#N/A
,DXC,DXC Technology Co,20.19,,#N/A,#N/A
,DE,Deere & Company,218.33,,#N/A,#N/A
,JBHT,J B Hunt Transport Services Inc,132.02,,#N/A,#N/A
,SNPS,"Synopsys, Inc.",205.54,,#N/A,#N/A
,PH,Parker-Hannifin Corp,211.44,,#N/A,#N/A
,ETFC,E*TRADE Financial Corp,53,,#N/A,#N/A
,PWR,Quanta Services Inc,52.26,,#N/A,#N/A
,NKE,Nike Inc,119.28,,#N/A,#N/A
,PKI,"PerkinElmer, Inc.",117.73,,#N/A,#N/A
,DRI,"Darden Restaurants, Inc.",91.61,,#N/A,#N/A
,AMP,"Ameriprise Financial, Inc.",156.03,,#N/A,#N/A
,QCOM,"QUALCOMM, Inc.",113.46,,#N/A,#N/A
,HAS,"Hasbro, Inc.",77.18,,#N/A,#N/A
,NBL,"Noble Energy, Inc.",9.13,,#N/A,#N/A
,SHW,Sherwin-Williams Co,717.6,,#N/A,#N/A
,NVR,"NVR, Inc.",4142.22,,#N/A,#N/A
,QRVO,Qorvo Inc,122.84,,#N/A,#N/A
,ISRG,"Intuitive Surgical, Inc.",716.34,,#N/A,#N/A
,EXPE,Expedia Group Inc,95.92,,#N/A,#N/A
,NSC,Norfolk Southern Corp.,220.29,,#N/A,#N/A
,DD,DuPont de Nemours Inc,59.43,,#N/A,#N/A
,DISH,DISH Network Corp,32.66,,#N/A,#N/A
,IR,Ingersoll Rand Inc,36.32,,#N/A,#N/A
,NOW,ServiceNow Inc,458.06,,#N/A,#N/A
,WY,Weyerhaeuser Co,28.93,,#N/A,#N/A
,GLW,Corning Incorporated,32.74,,#N/A,#N/A
,HD,Home Depot Inc,280.65,,#N/A,#N/A
,VAR,"Varian Medical Systems, Inc.",173.15,,#N/A,#N/A
,MAS,Masco Corp,59.4,,#N/A,#N/A
,APD,"Air Products & Chemicals, Inc.",303.97,,#N/A,#N/A
,ILMN,"Illumina, Inc.",353.65,,#N/A,#N/A
,APTV,Aptiv PLC,85.89,,#N/A,#N/A
,SYY,SYSCO Corporation,64.57,,#N/A,#N/A
,MKC,"McCormick & Company, Incorporated",200.1,,#N/A,#N/A
,ADBE,Adobe Inc,485.91,,#N/A,#N/A
,CAT,Caterpillar Inc.,153.51,,#N/A,#N/A
,PVH,PVH Corp,71.4,,#N/A,#N/A
,EBAY,eBay Inc,52.3,,#N/A,#N/A
,IDXX,"IDEXX Laboratories, Inc.",365.56,,#N/A,#N/A
,KSU,Kansas City Southern,187.22,,#N/A,#N/A
,NEM,Newmont Corporation,67.38,,#N/A,#N/A
,LEG,"Leggett & Platt, Inc.",44.63,,#N/A,#N/A
,AAP,"Advance Auto Parts, Inc.",157.31,,#N/A,#N/A
,AES,AES Corp,17.95,,#N/A,#N/A
,TWTR,Twitter Inc,38.77,,#N/A,#N/A
,CHRW,CH Robinson Worldwide Inc,100.71,,#N/A,#N/A
,NFLX,Netflix Inc,476.26,,#N/A,#N/A
,CE,Celanese Corporation,109.41,,#N/A,#N/A
,ALB,Albemarle Corporation,98.17,,#N/A,#N/A
,TEL,TE Connectivity Ltd,99.58,,#N/A,#N/A
,DHR,Danaher Corporation,207.93,,#N/A,#N/A
,NCLH,Norwegian Cruise Line Holdings Ltd,17.79,,#N/A,#N/A
,AME,"AMETEK, Inc.",101.39,,#N/A,#N/A
,MS,Morgan Stanley,51.15,,#N/A,#N/A
,LNC,Lincoln National Corporation,35.34,,#N/A,#N/A
,HCA,HCA Healthcare Inc,135.72,,#N/A,#N/A
,CTAS,Cintas Corporation,327.81,,#N/A,#N/A
,ORLY,O'Reilly Automotive Inc,478.12,,#N/A,#N/A
,CMI,Cummins Inc.,210.58,,#N/A,#N/A
,LIN,Linde PLC,251.25,,#N/A,#N/A
,LKQ,LKQ Corporation,32.34,,#N/A,#N/A
,CSX,CSX Corporation,78.96,,#N/A,#N/A
,TGT,Target Corporation,148.44,,#N/A,#N/A
,LYV,"Live Nation Entertainment, Inc.",58.66,,#N/A,#N/A
,PRU,Prudential Financial Inc,69.76,,#N/A,#N/A
,BF.B,Brown-Forman Corporation Class B,79.49,,#N/A,#N/A
,SPGI,S&P Global Inc,353.09,,#N/A,#N/A
,UNP,Union Pacific Corporation,198.84,,#N/A,#N/A
,IEX,IDEX Corporation,184.1,,#N/A,#N/A
,CTSH,Cognizant Technology Solutions Corp,69.29,,#N/A,#N/A
,MTD,Mettler-Toledo International Inc.,978.99,,#N/A,#N/A
,IQV,Iqvia Holdings Inc,161.65,,#N/A,#N/A
,CNP,CenterPoint Energy Inc,19.54,,#N/A,#N/A
,PLD,Prologis Inc,101.95,,#N/A,#N/A
,MXIM,Maxim Integrated Products Inc.,66.35,,#N/A,#N/A
,GWW,W W Grainger Inc,354.34,,#N/A,#N/A
,CHTR,Charter Communications Inc,609.7,,#N/A,#N/A
,TMO,Thermo Fisher Scientific Inc.,434.1,,#N/A,#N/A
,PPG,"PPG Industries, Inc.",130.21,,#N/A,#N/A
,PXD,Pioneer Natural Resources Co,93.35,,#N/A,#N/A
,MPC,Marathon Petroleum Corp,32.02,,#N/A,#N/A
,ACN,Accenture Plc,238.83,,#N/A,#N/A
,EXPD,Expeditors International of Wshngtn Inc,91.21,,#N/A,#N/A
,A,Agilent Technologies Inc,99.42,,#N/A,#N/A
,MCO,Moody's Corporation,288.68,,#N/A,#N/A
,CHD,"Church & Dwight Co., Inc.",92.72,,#N/A,#N/A
,ADSK,"Autodesk, Inc.",229.83,,#N/A,#N/A
,CPRT,"Copart, Inc.",103.86,,#N/A,#N/A
,FMC,FMC Corp,110.53,,#N/A,#N/A
,FITB,Fifth Third Bancorp,22.26,,#N/A,#N/A
,APH,Amphenol Corporation,106.78,,#N/A,#N/A
,ANSS,"ANSYS, Inc.",321.6,,#N/A,#N/A
,FTNT,Fortinet Inc,118.01,,#N/A,#N/A
,WELL,Welltower Inc,60.12,,#N/A,#N/A
,BLK,"BlackRock, Inc.",547.38,,#N/A,#N/A
,ROL,"Rollins, Inc.",54.29,,#N/A,#N/A
,STZ,"Constellation Brands, Inc. Class A",195.31,,#N/A,#N/A
,ZBH,Zimmer Biomet Holdings Inc,140.59,,#N/A,#N/A
,INFO,IHS Markit Ltd,77.95,,#N/A,#N/A
,MSFT,Microsoft Corporation,205.41,,#N/A,#N/A
,ZBRA,Zebra Technologies Corp.,251.26,,#N/A,#N/A
,IPGP,IPG Photonics Corporation,162.88,,#N/A,#N/A
,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",508.84,,#N/A,#N/A
,WMB,Williams Companies Inc,20.85,,#N/A,#N/A
,NUE,Nucor Corporation,46.73,,#N/A,#N/A
